iter	Passed	Remaining
849	1721	303
850	1723	301
851	1724	299
852	1727	297
853	1728	295
854	1731	293
855	1733	291
856	1735	289
857	1737	287
858	1739	285
859	1741	283
860	1743	281
861	1744	279
862	1746	277
863	1748	275
864	1750	273
865	1752	271
866	1754	269
867	1756	267
868	1758	265
869	1760	263
870	1762	260
871	1764	258
872	1766	256
873	1768	254
874	1770	252
875	1772	250
876	1774	248
877	1776	246
878	1778	244
879	1780	242
880	1781	240
881	1783	238
882	1785	236
883	1787	234
884	1789	232
885	1791	230
886	1793	228
887	1795	226
888	1797	224
889	1799	222
890	1801	220
891	1803	218
892	1805	216
893	1807	214
894	1809	212
895	1811	210
896	1813	208
897	1815	206
898	1817	204
899	1819	202
900	1821	200
901	1823	198
902	1825	196
903	1827	194
904	1829	192
905	1830	189
906	1832	187
907	1835	185
908	1837	183
909	1839	181
910	1841	179
911	1843	177
912	1844	175
913	1846	173
914	1848	171
915	1850	169
916	1852	167
917	1854	165
918	1856	163
919	1858	161
920	1860	159
921	1862	157
922	1864	155
923	1866	153
924	1868	151
925	1870	149
926	1872	147
927	1874	145
928	1876	143
929	1878	141
930	1880	139
931	1882	137
932	1884	135
933	1886	133
934	1888	131
935	1890	129
936	1892	127
937	1894	125
938	1896	123
939	1898	121
940	1900	119
941	1902	117
942	1904	115
943	1906	113
944	1908	111
945	1910	109
946	1912	107
947	1914	104
948	1915	102
949	1917	100
950	1919	98
951	1921	96
952	1923	94
953	1925	92
954	1927	90
955	1929	88
956	1931	86
957	1933	84
958	1935	82
959	1937	80
960	1939	78
961	1942	76
962	1943	74
963	1945	72
964	1947	70
965	1949	68
966	1951	66
967	1953	64
968	1955	62
969	1957	60
970	1959	58
971	1961	56
972	1963	54
973	1965	52
974	1967	50
975	1969	48
976	1971	46
977	1973	44
978	1975	42
979	1978	40
980	1980	38
981	1982	36
982	1984	34
983	1986	32
984	1988	30
985	1990	28
986	1991	26
987	1993	24
988	1996	22
989	1998	20
990	2000	18
991	2002	16
992	2003	14
993	2005	12
994	2007	10
995	2009	8
996	2011	6
997	2014	4
998	2016	2
999	2017	0
