iter	RMSE
289	487.3575444
290	486.8702008
291	486.2296878
292	485.9336369
293	485.7653523
294	485.4192898
295	485.1785079
296	485.0140257
297	484.7509637
298	484.4418422
299	484.119667
300	483.8352757
301	483.6189299
302	483.4559921
303	483.3656167
304	483.1864631
305	482.9698604
306	482.7339951
307	482.6085092
308	482.3453728
309	482.1078169
310	481.9541773
311	481.7560522
312	481.5397102
313	481.3297645
314	480.7876428
315	480.3372879
316	479.8203897
317	479.4967029
318	479.2832258
319	478.7633893
320	478.5001458
321	478.2539762
322	478.0586577
323	477.8017238
324	477.4340404
325	477.3531005
326	477.2024664
327	477.1584741
328	476.8652495
329	476.7221298
330	476.5591949
331	476.3215246
332	476.1481219
333	475.9070894
334	475.5619247
335	475.2888969
336	475.0315366
337	474.9071649
338	474.6316411
339	474.3455261
340	474.2241775
341	473.7820467
342	473.4848114
343	473.2477962
344	473.0654987
345	472.9320219
346	472.8861258
347	472.8242853
348	472.6196187
349	472.5010795
350	471.9913979
351	471.7547908
352	471.59736
353	471.5279719
354	471.2951629
355	471.2494437
356	471.0692295
357	470.6524624
358	470.3490257
359	470.1522274
360	469.7802223
361	469.6873966
362	469.5162982
363	469.1222389
364	468.9578538
365	468.7575245
366	468.5383558
367	468.3589442
368	468.1430018
369	467.9501336
370	467.6095219
371	467.4078394
372	467.2654744
373	466.8175541
374	466.6703208
375	466.4585889
376	466.3342611
377	465.9652893
378	465.6150703
379	465.4858984
380	465.3760602
381	465.0838738
382	464.7409525
383	464.6201656
384	464.6017909
385	464.4324188
386	464.1976809
387	463.9789211
388	463.8134022
389	463.6183639
390	463.3528478
391	462.9223507
392	462.5631463
393	462.3608979
394	462.240132
395	462.0785407
396	461.9820749
397	461.8157229
398	461.6602154
399	461.4468353
400	461.3008573
401	461.147106
402	460.9270072
403	460.6780795
404	460.5004542
405	460.2321627
406	459.9040317
407	459.7859533
408	459.4900625
409	459.2702078
410	459.1520463
411	458.8422426
412	458.702308
413	458.5405594
414	458.3269702
415	458.0456179
416	457.8844689
417	457.6898057
418	457.5538687
419	457.2294091
420	456.946624
421	456.7305611
422	456.4843645
423	456.2082299
424	455.9483533
425	455.6982752
426	455.4293749
427	455.1729051
428	454.9539091
429	454.7726089
430	454.5582289
431	454.2731568
432	454.1083887
433	453.9000686
434	453.6937354
435	453.4353336
436	453.2889827
437	453.1342007
438	452.8341515
439	452.6577291
440	452.4819515
441	452.3899211
442	452.0705407
443	451.9617351
444	451.803602
445	451.7459185
446	451.5683862
447	451.364341
448	451.2614029
449	451.0928869
450	450.8041521
451	450.4809191
452	450.3598568
453	450.0795182
454	449.9916547
455	449.8639868
456	449.7443142
457	449.6380155
458	449.3796153
459	449.2923202
460	449.1920847
461	449.0498201
462	448.9814043
463	448.7764748
464	448.726062
465	448.6393878
466	448.3547644
467	448.1850657
468	448.0378679
469	447.86811
470	447.7338339
471	447.4880731
472	447.3290855
473	447.0722989
474	446.8544637
475	446.7365178
476	446.6036376
477	446.5093364
478	446.2463814
479	446.1145409
480	445.8129655
481	445.6199546
482	445.457458
483	445.3353714
484	445.2398674
485	445.1316919
486	444.9119128
487	444.7615438
488	444.6673503
489	444.5700302
490	444.526047
491	444.4044232
492	444.1418062
493	443.947422
494	443.8218223
495	443.601532
496	443.4938145
497	443.4552501
498	443.427357
499	443.3443835
500	443.0307
501	442.8541357
502	442.8241327
503	442.6138709
504	442.506525
505	442.3358436
506	442.2356309
507	441.9840207
508	441.9182908
509	441.8579778
510	441.7924662
511	441.7146554
512	441.5951377
513	441.5401978
514	441.318087
515	441.1704024
516	441.0577799
517	440.9889441
518	440.7684454
519	440.6482547
520	440.4179623
521	440.2226655
522	440.0475111
523	439.9979394
524	439.9854325
525	439.8087816
526	439.7618875
527	439.6712332
528	439.4602567
529	439.3499118
530	439.2811806
531	439.1707627
532	438.9881963
533	438.8455623
534	438.6266835
535	438.4576893
536	438.3185159
537	438.142017
538	438.0388151
539	438.0121898
540	437.8846154
541	437.7273746
542	437.6044264
543	437.478512
544	437.303599
545	437.2159743
546	437.1069959
547	436.9329602
548	436.6939863
549	436.5650471
550	436.3196395
551	436.1431609
552	435.9590775
553	435.7121461
554	435.5488516
555	435.4634593
556	435.3008986
557	435.1979805
558	435.1086825
559	434.8645193
560	434.7214286
561	434.6288339
562	434.4110076
563	434.180083
564	433.9724489
565	433.7964927
566	433.5896861
567	433.4018839
568	433.3343168
569	433.2334306
570	433.0525463
571	432.8532434
572	432.5224563
573	432.3648406
574	432.1789657
575	431.9853234
576	431.8454637
577	431.6694945
578	431.6364822
579	431.4887634
580	431.3324342
581	431.2191911
582	431.1100773
583	430.9659119
584	430.7885616
585	430.6344847
586	430.5366941
587	430.3635231
588	430.2132131
589	430.0931809
590	429.9498249
591	429.7843485
592	429.701633
593	429.5739071
594	429.484707
595	429.2400481
596	429.1811777
597	429.0911545
598	429.0557618
599	429.0537667
600	428.9527458
601	428.8271052
602	428.75286
603	428.7315462
604	428.6670439
605	428.5163107
606	428.4971298
607	428.3502112
608	428.2090612
609	428.002887
610	427.7943413
611	427.6209433
612	427.5068948
613	427.3992791
614	427.2449168
615	427.1453978
616	427.022565
617	426.8297445
618	426.80341
619	426.5837454
620	426.5013407
621	426.2998143
622	426.0783039
623	426.0630694
624	425.8813084
625	425.6714188
626	425.5891537
627	425.4796598
628	425.3860247
629	425.2039638
630	425.0913521
631	424.961322
632	424.6701753
633	424.5506602
634	424.3736036
635	424.2032087
636	424.0821864
637	423.9876126
638	423.8373725
639	423.701354
640	423.4355995
641	423.2464984
642	423.2432801
643	423.0732493
644	422.9424668
645	422.8188387
646	422.6798854
647	422.5350734
648	422.5334712
649	422.4666608
650	422.4651391
651	422.3363606
652	422.2839602
653	422.0216773
654	421.8941592
655	421.7356415
656	421.6130634
657	421.608266
658	421.6068597
659	421.5006585
660	421.39573
661	421.2522357
662	421.1949432
663	421.0747811
664	420.9993505
665	420.8969081
666	420.8215022
667	420.5323099
668	420.5278463
669	420.4983211
670	420.443947
671	420.4426488
672	420.4003507
673	420.3807714
674	420.1565952
675	420.1542391
676	420.0949996
677	419.9656557
678	419.9482549
679	419.8302722
680	419.7207824
681	419.7029561
682	419.4916639
683	419.4427556
684	419.3351744
685	419.2058267
686	419.1462391
687	419.0403024
688	418.9388307
689	418.9377544
690	418.840867
691	418.620874
692	418.4919403
693	418.4070061
694	418.3409205
695	418.24869
696	418.1415943
697	418.1124175
698	417.9909733
699	417.9844849
700	417.9141865
701	417.8514225
702	417.7552286
703	417.7492068
704	417.6054162
705	417.5493622
706	417.472506
707	417.2930753
708	417.2494682
709	417.154519
710	417.1532051
711	417.0231703
712	416.9083318
713	416.7722582
714	416.7666109
715	416.6502035
716	416.4345636
717	416.3354407
718	416.0943531
719	415.9714167
720	415.9705803
721	415.7872918
722	415.7063195
723	415.5873616
724	415.4490901
725	415.2679742
726	415.1633309
727	415.0055719
728	414.8468536
729	414.7623811
730	414.6414083
731	414.5363348
732	414.4368404
733	414.3545892
734	414.1933119
735	414.1205601
736	414.0289918
737	413.928122
738	413.7677314
739	413.5799441
740	413.4405611
741	413.2592959
742	413.1456156
743	413.007637
744	413.0068213
745	412.9050004
746	412.7716176
747	412.7329609
748	412.6458601
749	412.5378271
750	412.4758738
751	412.3605878
752	412.2909437
753	412.2301222
754	412.2293598
755	412.0926737
756	412.0896382
757	412.0190971
758	411.9208374
759	411.8902741
760	411.8887595
761	411.7221069
762	411.5892953
763	411.4812129
764	411.3483809
765	411.2828774
766	411.1761561
767	410.9526545
768	410.9089192
769	410.8441082
770	410.7085276
771	410.6095012
772	410.55731
773	410.391522
774	410.361735
775	410.302746
776	410.1339843
777	410.0043787
778	409.884584
779	409.8107288
780	409.6222627
781	409.5056798
782	409.3066497
783	409.1104191
784	408.9866338
785	408.9022738
786	408.7497126
787	408.6199917
788	408.4334087
789	408.316175
790	408.1379807
791	408.0417249
792	407.938943
793	407.7588437
794	407.6607341
795	407.5721093
796	407.4886251
797	407.3890636
798	407.336309
799	407.2123364
800	407.1410023
801	407.0703706
802	407.0460176
803	406.9731447
804	406.8338688
805	406.7895847
806	406.6471576
807	406.5791731
808	406.5022568
809	406.3235623
810	406.2466743
811	406.1398306
812	406.030701
813	405.8890223
814	405.753389
815	405.6294767
816	405.5048434
817	405.3723
818	405.3163442
819	405.2515376
820	405.1509538
821	405.0154959
822	404.8955911
823	404.7646157
824	404.6213758
825	404.576582
826	404.4976178
827	404.3677499
828	404.2278204
829	404.0654816
830	403.9714935
831	403.8587043
832	403.7447869
833	403.6196355
834	403.5800153
835	403.4378184
836	403.3120022
837	403.1906643
838	403.0301466
839	402.9218842
840	402.8097442
841	402.7824631
842	402.6151944
843	402.4656049
844	402.3330223
845	402.2407592
846	402.145116
847	402.0323509
848	401.8952516
849	401.7937191
850	401.7110454
851	401.6080594
852	401.4589079
853	401.3646452
854	401.2791133
855	401.1648421
856	401.0556678
857	400.9603976
858	400.823188
859	400.7005005
860	400.6282724
861	400.5548472
862	400.4479759
863	400.3249326
864	400.2682836
865	400.0952494
866	400.0129452
867	399.9099352
868	399.8112964
869	399.7040687
870	399.5727601
871	399.5474138
872	399.4344106
873	399.3799981
874	399.2497872
875	399.2239301
876	399.0982017
877	398.9339004
878	398.8590517
879	398.7398757
880	398.6459676
881	398.541917
882	398.4503822
883	398.3182611
884	398.2329033
885	398.078067
886	397.9253904
887	397.834968
888	397.6916897
889	397.6373332
890	397.5236992
891	397.4581758
892	397.353401
893	397.3172933
894	397.2908677
895	397.2064434
896	397.1037957
897	396.9828289
898	396.875118
899	396.800253
900	396.6625912
901	396.5104433
902	396.3784896
903	396.2053589
904	396.1356586
905	396.1341921
906	396.0294924
907	395.9199878
908	395.8955849
909	395.8087331
910	395.6996729
911	395.5212415
912	395.4041931
913	395.2298374
914	395.1011469
915	395.0813089
916	394.9699355
917	394.9434554
918	394.8568695
919	394.7170096
920	394.6167532
921	394.5400148
922	394.5394605
923	394.4620066
924	394.3789567
925	394.2656782
926	394.2094205
927	394.12898
928	394.0831622
929	394.0057803
930	393.8715713
931	393.7962528
932	393.6735789
933	393.5934134
934	393.4730607
935	393.3832044
936	393.2393405
937	393.183321
938	393.1118377
939	392.8846941
940	392.8827099
941	392.7935289
942	392.6340459
943	392.5397204
944	392.4469681
945	392.2729245
946	392.1043792
947	392.0039765
948	391.9055169
949	391.796555
950	391.7090013
951	391.6215185
952	391.5276059
953	391.4494624
954	391.3683297
955	391.2892034
956	391.2028358
957	391.1356588
958	391.0805976
959	390.9578071
960	390.8847395
961	390.813423
962	390.7229006
963	390.6374085
964	390.588494
965	390.5425446
966	390.4675449
967	390.4360587
968	390.3376653
969	390.1873369
970	390.1330087
971	390.0720755
972	389.9907508
973	389.9119581
974	389.8374757
975	389.7372869
976	389.6310739
977	389.5298281
978	389.3970409
979	389.284882
980	389.1891045
981	389.134256
982	389.0540576
983	389.0093606
984	388.9646734
985	388.904659
986	388.7818652
987	388.6829122
988	388.5908715
989	388.4979276
990	388.3511199
991	388.2030654
992	388.1952245
993	388.1407851
994	388.0031918
995	387.9092387
996	387.870852
997	387.7504734
998	387.6924254
999	387.5878879
